,Src Zone,Src Address,Dst Zone,Dst Address,Service,App,URL,Action,Last Matched (days ago),사용우무
147,untrust,10.168.240.15,trust,10.169.198.25,tcp_22,,,permit,,
148,untrust,10.168.240.15,trust,10.169.198.25,tcp_3306,,,permit,475.0,
149,untrust,192.168.182.26,trust,192.168.128.230,tcp_139,,,permit,350.0,
150,untrust,192.168.181.50,trust,10.169.198.8/31,any,,,permit,,
151,untrust,10.168.243.201,trust,10.169.198.8/31,any,,,permit,,
152,,10.168.243.202,,,,,,,,
153,untrust,10.168.243.222,trust,10.169.198.8/31,tcp_873,,,permit,,
154,untrust,10.168.243.222,trust,10.169.198.8/31,tcp_3306,,,permit,,
155,untrust,10.168.243.222,trust,10.169.198.8/31,tcp_6000-6999,,,permit,,
156,untrust,10.168.243.222,trust,10.169.198.8/31,tcp_8000-8999,,,permit,,
157,untrust,10.168.243.222,trust,10.169.198.8/31,tcp_26000,,,permit,,
158,untrust,10.168.243.222,trust,10.169.198.8/31,tcp_26999,,,permit,,
159,untrust,10.168.243.222,trust,10.169.198.25,tcp_22,,,permit,,
160,untrust,10.168.243.222,trust,10.169.198.25,tcp_873,,,permit,,
161,untrust,10.168.243.222,trust,10.169.198.25,tcp_3306,,,permit,,
162,untrust,10.168.243.222,trust,10.169.198.25,tcp_6000-6999,,,permit,,
163,untrust,10.168.243.222,trust,10.169.198.25,tcp_8000-8999,,,permit,,
164,untrust,10.168.243.222,trust,10.169.198.25,tcp_26000,,,permit,,
165,untrust,10.168.243.222,trust,10.169.198.25,tcp_26999,,,permit,,
166,untrust,10.168.243.201,trust,192.168.204.208-192.168.204.210,any,,,permit,,
167,,10.168.243.202,,,,,,,,
168,untrust,10.168.243.222,trust,192.168.204.208-192.168.204.210,tcp_6000-6999,,,permit,,
169,untrust,10.168.243.222,trust,192.168.204.208-192.168.204.210,tcp_8000-8999,,,permit,,
170,untrust,10.168.243.222,trust,192.168.204.208-192.168.204.210,tcp_26000,,,permit,,
171,untrust,10.168.243.222,trust,192.168.204.208-192.168.204.210,tcp_26999,,,permit,,
172,untrust,192.168.31.151,trust,192.168.204.232,tcp_8281,,,permit,511.0,
